optimizer,lr,batch_size,hidden_dim,regularization,reg_only_weights,l2_lambda,use_pretrained_word2vec,embed_dim,output_mode,key_value_proj_dim,rnn,add_component,multi_output_layers,valid_acc,test_acc
<class 'torch.optim.adam.Adam'>,0.001,32,150,,,0,True,300,,,GRU,True,True,0.8559633027522936,0.87
<class 'torch.optim.adam.Adam'>,0.0002,32,170,,,0,True,300,,,GRU,True,False,0.8559633027522936,0.868
<class 'torch.optim.adam.Adam'>,0.0002,32,200,,,0,True,300,,,GRU,True,False,0.8559633027522936,0.864
<class 'torch.optim.adam.Adam'>,0.001,32,200,,,0,True,300,,,GRU,True,False,0.8550458715596331,0.9
<class 'torch.optim.adam.Adam'>,0.0005,16,200,,,0,True,300,,,GRU,True,True,0.8541284403669724,0.858
<class 'torch.optim.adam.Adam'>,0.001,64,170,,,0,True,300,,,GRU,True,True,0.8532110091743119,0.86
<class 'torch.optim.adam.Adam'>,0.0005,32,128,,,0,True,300,,,GRU,False,,0.8532110091743119,0.88
<class 'torch.optim.adam.Adam'>,0.0005,64,170,,,0,True,300,,,GRU,True,False,0.8532110091743119,0.888
<class 'torch.optim.adam.Adam'>,0.0005,64,200,,,0,True,300,,,GRU,False,,0.8522935779816514,0.88
<class 'torch.optim.adam.Adam'>,0.0002,32,200,,,0,True,300,,,GRU,False,,0.8504587155963302,0.854
<class 'torch.optim.adam.Adam'>,0.0005,16,150,,,0,True,300,,,GRU,True,True,0.8486238532110092,0.866
<class 'torch.optim.adam.Adam'>,0.0002,64,170,,,0,True,300,,,GRU,False,,0.8486238532110092,0.852
<class 'torch.optim.adam.Adam'>,0.0005,64,150,,,0,True,300,,,GRU,False,,0.8486238532110092,0.862
<class 'torch.optim.adam.Adam'>,0.0002,16,150,,,0,True,300,,,GRU,False,,0.8486238532110092,0.842
<class 'torch.optim.adam.Adam'>,0.001,64,190,,,0,True,300,,,GRU,False,,0.8486238532110092,0.844
<class 'torch.optim.adam.Adam'>,0.0005,32,190,,,0,True,300,,,GRU,True,True,0.8477064220183487,0.87
<class 'torch.optim.adam.Adam'>,0.001,64,200,,,0,True,300,,,GRU,True,True,0.8477064220183487,0.882
<class 'torch.optim.adam.Adam'>,0.001,64,128,,,0,True,300,,,GRU,False,,0.8477064220183487,0.846
<class 'torch.optim.adam.Adam'>,0.001,64,150,,,0,True,300,,,GRU,True,True,0.846788990825688,0.862
<class 'torch.optim.adam.Adam'>,0.0005,32,150,,,0,True,300,,,GRU,True,True,0.8458715596330275,0.866
<class 'torch.optim.adam.Adam'>,0.0002,64,170,,,0,True,300,,,GRU,True,False,0.8458715596330275,0.868
<class 'torch.optim.adam.Adam'>,0.0005,32,170,,,0,True,300,,,GRU,True,True,0.8422018348623853,0.856
<class 'torch.optim.adam.Adam'>,0.0005,32,128,,,0,True,300,,,GRU,True,True,0.8422018348623853,0.848
<class 'torch.optim.adam.Adam'>,0.001,64,190,,,0,True,300,,,GRU,True,True,0.8422018348623853,0.858
<class 'torch.optim.adam.Adam'>,0.0005,64,190,,,0,True,300,,,GRU,True,True,0.8412844036697248,0.856
<class 'torch.optim.adam.Adam'>,0.0005,32,200,,,0,True,300,,,GRU,True,True,0.8394495412844036,0.854
<class 'torch.optim.adam.Adam'>,0.0002,16,150,,,0,True,300,,,GRU,True,True,0.8385321100917431,0.84
<class 'torch.optim.adam.Adam'>,0.0005,64,128,,,0,True,300,,,GRU,True,True,0.8385321100917431,0.868
<class 'torch.optim.adam.Adam'>,0.0002,16,128,,,0,True,300,,,GRU,True,True,0.8376146788990826,0.86
<class 'torch.optim.adam.Adam'>,0.0005,16,190,,,0,True,300,,,GRU,True,True,0.8357798165137614,0.846
<class 'torch.optim.adam.Adam'>,0.0002,16,170,,,0,True,300,,,GRU,True,False,0.8348623853211009,0.86
<class 'torch.optim.adam.Adam'>,0.0005,64,150,,,0,True,300,,,GRU,True,True,0.8339449541284404,0.82
<class 'torch.optim.adam.Adam'>,0.0002,16,200,,,0,True,300,,,GRU,True,True,0.8330275229357799,0.86
<class 'torch.optim.adam.Adam'>,0.0002,64,128,,,0,True,300,,,GRU,False,,0.8311926605504587,0.832
<class 'torch.optim.adam.Adam'>,0.0002,16,190,,,0,True,300,,,GRU,True,True,0.8302752293577982,0.844
<class 'torch.optim.adam.Adam'>,0.0002,16,170,,,0,True,300,,,GRU,True,True,0.8256880733944955,0.87
<class 'torch.optim.adam.Adam'>,0.0002,32,190,,,0,True,300,,,GRU,True,True,0.8211009174311926,0.85
<class 'torch.optim.adam.Adam'>,0.0005,64,200,,,0,True,300,,,GRU,True,True,0.8201834862385321,0.846
<class 'torch.optim.adam.Adam'>,0.0005,64,170,,,0,True,300,,,GRU,True,True,0.8165137614678899,0.85
<class 'torch.optim.adam.Adam'>,0.0002,32,150,,,0,True,300,,,GRU,True,True,0.8128440366972477,0.82
<class 'torch.optim.adam.Adam'>,0.0002,64,150,,,0,True,300,,,GRU,False,,0.8110091743119267,0.838
<class 'torch.optim.adam.Adam'>,0.0002,32,170,,,0,True,300,,,GRU,True,True,0.8045871559633028,0.794
<class 'torch.optim.adam.Adam'>,0.0002,64,170,,,0,True,300,,,GRU,True,True,0.789908256880734,0.798
<class 'torch.optim.adam.Adam'>,0.0002,32,128,,,0,True,300,,,GRU,True,True,0.7889908256880734,0.826
<class 'torch.optim.adam.Adam'>,0.0002,64,190,,,0,True,300,,,GRU,True,True,0.7825688073394496,0.816
<class 'torch.optim.adam.Adam'>,0.0002,64,150,,,0,True,300,,,GRU,True,True,0.7825688073394496,0.786
<class 'torch.optim.adam.Adam'>,0.0002,32,200,,,0,True,300,,,GRU,True,True,0.7146788990825688,0.714
<class 'torch.optim.adam.Adam'>,0.0002,64,200,,,0,True,300,,,GRU,True,True,0.6798165137614679,0.698
<class 'torch.optim.adam.Adam'>,0.0002,64,128,,,0,True,300,,,GRU,True,True,0.6706422018348623,0.706
