optimizer,lr,batch_size,hidden_dim,regularization,reg_only_weights,l1_lambda,l2_lambda,weight_decay,valid_acc,test_acc
<class 'torch.optim.adam.Adam'>,0.0002,16,190,both,True,0.1,0.02,0.0,0.6651376146788991,0.672
<class 'torch.optim.adam.Adam'>,0.0002,16,190,both,False,0.01,0.1,0.0,0.4559633027522936,0.472
<class 'torch.optim.adam.Adam'>,0.0002,16,190,both,False,0.1,1.0,0.0,0.24220183486238533,0.188
<class 'torch.optim.adam.Adam'>,0.0002,16,190,both,False,0.1,2.0,0.0,0.24220183486238533,0.188
<class 'torch.optim.adam.Adam'>,0.0002,16,190,both,False,0.05,4.0,0.0,0.24220183486238533,0.188
<class 'torch.optim.adam.Adam'>,0.0002,16,190,both,False,0.01,2.0,0.0,0.24220183486238533,0.188
<class 'torch.optim.adam.Adam'>,0.0002,16,190,both,False,0.01,4.0,0.0,0.24220183486238533,0.188
<class 'torch.optim.adam.Adam'>,0.0002,16,190,l2_weight_decay,True,0.0,0.0,0.1,0.24220183486238533,0.188
<class 'torch.optim.adam.Adam'>,0.0002,16,190,both,False,0.005,2.0,0.0,0.24220183486238533,0.188
<class 'torch.optim.adam.Adam'>,0.0002,16,190,both,False,0.005,4.0,0.0,0.24220183486238533,0.188
<class 'torch.optim.adam.Adam'>,0.0002,16,190,l2,False,0.0,4.0,0.0,0.24220183486238533,0.188
<class 'torch.optim.adam.Adam'>,0.0002,16,190,l2_weight_decay,False,0.0,0.0,0.1,0.24220183486238533,0.188
<class 'torch.optim.adam.Adam'>,0.0002,16,190,l2,False,0.0,0.1,0.0,0.24220183486238533,0.188
<class 'torch.optim.adam.Adam'>,0.0002,16,190,both,True,0.05,0.2,0.0,0.24220183486238533,0.188
<class 'torch.optim.adam.Adam'>,0.0002,16,190,both,True,0.005,0.1,0.0,0.24220183486238533,0.188
<class 'torch.optim.adam.Adam'>,0.0002,16,190,both,True,0.1,0.1,0.0,0.24220183486238533,0.188
<class 'torch.optim.adam.Adam'>,0.0002,16,190,both,True,0.1,0.2,0.0,0.24220183486238533,0.188
<class 'torch.optim.adam.Adam'>,0.0002,16,190,both,True,0.01,0.1,0.0,0.24220183486238533,0.188
<class 'torch.optim.adam.Adam'>,0.0002,16,190,both,True,0.001,0.2,0.0,0.24220183486238533,0.188
<class 'torch.optim.adam.Adam'>,0.0002,16,190,both,True,0.005,0.2,0.0,0.24220183486238533,0.188
<class 'torch.optim.adam.Adam'>,0.0002,16,190,both,True,0.001,0.1,0.0,0.24220183486238533,0.188
<class 'torch.optim.adam.Adam'>,0.0002,16,190,l2,True,0.0,0.2,0.0,0.24220183486238533,0.188
<class 'torch.optim.adam.Adam'>,0.0002,16,190,l2,True,0.0,0.1,0.0,0.24220183486238533,0.188
<class 'torch.optim.adam.Adam'>,0.0002,16,190,both,False,0.001,0.1,0.0,0.24220183486238533,0.188
<class 'torch.optim.adam.Adam'>,0.0002,16,190,l2,False,0.0,0.2,0.0,0.24220183486238533,0.188
<class 'torch.optim.adam.Adam'>,0.0002,16,190,both,True,0.01,0.2,0.0,0.24220183486238533,0.188
<class 'torch.optim.adam.Adam'>,0.0002,16,190,both,False,0.001,2.0,0.0,0.24220183486238533,0.188
<class 'torch.optim.adam.Adam'>,0.0002,16,190,both,False,0.001,4.0,0.0,0.24220183486238533,0.188
<class 'torch.optim.adam.Adam'>,0.0002,16,190,l2,False,0.0,2.0,0.0,0.24220183486238533,0.188
<class 'torch.optim.adam.Adam'>,0.0002,16,190,both,True,0.05,0.1,0.0,0.24220183486238533,0.188
<class 'torch.optim.adam.Adam'>,0.0002,16,190,both,True,0.005,4.0,0.0,0.21100917431192662,0.13
<class 'torch.optim.adam.Adam'>,0.0002,16,190,both,True,0.005,2.0,0.0,0.21100917431192662,0.13
<class 'torch.optim.adam.Adam'>,0.0002,16,190,both,True,0.005,1.0,0.0,0.21100917431192662,0.13
<class 'torch.optim.adam.Adam'>,0.0002,16,190,both,True,0.001,2.0,0.0,0.21100917431192662,0.13
<class 'torch.optim.adam.Adam'>,0.0002,16,190,both,False,0.1,4.0,0.0,0.21100917431192662,0.13
<class 'torch.optim.adam.Adam'>,0.0002,16,190,both,True,0.001,4.0,0.0,0.21100917431192662,0.13
<class 'torch.optim.adam.Adam'>,0.0002,16,190,both,True,0.01,2.0,0.0,0.21100917431192662,0.13
<class 'torch.optim.adam.Adam'>,0.0002,16,190,both,True,0.001,1.0,0.0,0.21100917431192662,0.13
<class 'torch.optim.adam.Adam'>,0.0002,16,190,l2,False,0.0,1.0,0.0,0.21100917431192662,0.13
<class 'torch.optim.adam.Adam'>,0.0002,16,190,both,True,0.01,1.0,0.0,0.21100917431192662,0.13
<class 'torch.optim.adam.Adam'>,0.0002,16,190,both,False,0.005,1.0,0.0,0.21100917431192662,0.13
<class 'torch.optim.adam.Adam'>,0.0002,16,190,both,True,0.01,4.0,0.0,0.21100917431192662,0.13
<class 'torch.optim.adam.Adam'>,0.0002,16,190,l2,True,0.0,4.0,0.0,0.21100917431192662,0.13
<class 'torch.optim.adam.Adam'>,0.0002,16,190,both,False,0.005,0.1,0.0,0.21100917431192662,0.13
<class 'torch.optim.adam.Adam'>,0.0002,16,190,both,False,0.001,1.0,0.0,0.21100917431192662,0.13
<class 'torch.optim.adam.Adam'>,0.0002,16,190,both,False,0.001,0.2,0.0,0.21100917431192662,0.13
<class 'torch.optim.adam.Adam'>,0.0002,16,190,both,True,0.1,4.0,0.0,0.21100917431192662,0.13
<class 'torch.optim.adam.Adam'>,0.0002,16,190,both,True,0.1,2.0,0.0,0.21100917431192662,0.13
<class 'torch.optim.adam.Adam'>,0.0002,16,190,both,False,0.01,0.2,0.0,0.21100917431192662,0.13
<class 'torch.optim.adam.Adam'>,0.0002,16,190,both,False,0.01,1.0,0.0,0.21100917431192662,0.13
<class 'torch.optim.adam.Adam'>,0.0002,16,190,both,True,0.1,1.0,0.0,0.21100917431192662,0.13
<class 'torch.optim.adam.Adam'>,0.0002,16,190,both,True,0.05,4.0,0.0,0.21100917431192662,0.13
<class 'torch.optim.adam.Adam'>,0.0002,16,190,both,True,0.05,2.0,0.0,0.21100917431192662,0.13
<class 'torch.optim.adam.Adam'>,0.0002,16,190,both,True,0.05,1.0,0.0,0.21100917431192662,0.13
<class 'torch.optim.adam.Adam'>,0.0002,16,190,l2,True,0.0,1.0,0.0,0.21100917431192662,0.13
<class 'torch.optim.adam.Adam'>,0.0002,16,190,l2,True,0.0,2.0,0.0,0.21100917431192662,0.13
<class 'torch.optim.adam.Adam'>,0.0002,16,190,both,False,0.05,0.1,0.0,0.21100917431192662,0.13
<class 'torch.optim.adam.Adam'>,0.0002,16,190,both,False,0.05,0.2,0.0,0.21100917431192662,0.13
<class 'torch.optim.adam.Adam'>,0.0002,16,190,both,False,0.005,0.2,0.0,0.21100917431192662,0.13
<class 'torch.optim.adam.Adam'>,0.0002,16,190,both,False,0.05,2.0,0.0,0.21100917431192662,0.13
<class 'torch.optim.adam.Adam'>,0.0002,16,190,both,False,0.05,1.0,0.0,0.21100917431192662,0.13
<class 'torch.optim.adam.Adam'>,0.0002,16,190,both,False,0.1,0.2,0.0,0.1743119266055046,0.226
<class 'torch.optim.adam.Adam'>,0.0002,16,190,both,False,0.1,0.1,0.0,0.1743119266055046,0.226
