optimizer,lr,batch_size,hidden_dim,regularization,reg_only_weights,l2_lambda,use_pretrained_word2vec,embed_dim,output_mode,key_value_proj_dim,rnn,add_component,multi_output_layers,valid_acc,test_acc
<class 'torch.optim.adam.Adam'>,0.001,64,190,,,0,True,300,,,LSTM,True,False,0.8752293577981651,0.902
<class 'torch.optim.adam.Adam'>,0.001,64,170,,,0,True,300,,,LSTM,False,,0.8752293577981651,0.88
<class 'torch.optim.adam.Adam'>,0.001,16,190,,,0,True,300,,,LSTM,False,,0.8752293577981651,0.878
<class 'torch.optim.adam.Adam'>,0.001,64,190,,,0,True,300,,,LSTM,False,,0.8752293577981651,0.89
<class 'torch.optim.adam.Adam'>,0.001,64,128,,,0,True,300,,,LSTM,False,,0.8743119266055046,0.9
<class 'torch.optim.adam.Adam'>,0.0005,64,170,,,0,True,300,,,LSTM,False,,0.8743119266055046,0.894
<class 'torch.optim.adam.Adam'>,0.001,64,128,,,0,True,300,,,LSTM,True,False,0.8724770642201835,0.882
<class 'torch.optim.adam.Adam'>,0.001,32,190,,,0,True,300,,,LSTM,True,False,0.8724770642201835,0.904
<class 'torch.optim.adam.Adam'>,0.001,32,170,,,0,True,300,,,LSTM,False,,0.8724770642201835,0.886
<class 'torch.optim.adam.Adam'>,0.0005,64,190,,,0,True,300,,,LSTM,False,,0.8724770642201835,0.868
<class 'torch.optim.adam.Adam'>,0.0005,16,170,,,0,True,300,,,LSTM,True,False,0.8724770642201835,0.886
<class 'torch.optim.adam.Adam'>,0.0002,16,128,,,0,True,300,,,LSTM,False,,0.8715596330275229,0.88
<class 'torch.optim.adam.Adam'>,0.0005,16,150,,,0,True,300,,,LSTM,True,False,0.8715596330275229,0.894
<class 'torch.optim.adam.Adam'>,0.0005,32,190,,,0,True,300,,,LSTM,True,False,0.8715596330275229,0.896
<class 'torch.optim.adam.Adam'>,0.0005,16,200,,,0,True,300,,,LSTM,True,False,0.8715596330275229,0.888
<class 'torch.optim.adam.Adam'>,0.0005,16,190,,,0,True,300,,,LSTM,False,,0.8706422018348624,0.896
<class 'torch.optim.adam.Adam'>,0.0002,16,190,,,0,True,300,,,LSTM,False,,0.8697247706422019,0.862
<class 'torch.optim.adam.Adam'>,0.0005,32,190,,,0,True,300,,,LSTM,False,,0.8697247706422019,0.874
<class 'torch.optim.adam.Adam'>,0.0002,16,200,,,0,True,300,,,LSTM,True,False,0.8697247706422019,0.864
<class 'torch.optim.adam.Adam'>,0.0005,32,150,,,0,True,300,,,LSTM,True,False,0.8697247706422019,0.878
<class 'torch.optim.adam.Adam'>,0.0002,64,200,,,0,True,300,,,LSTM,False,,0.8697247706422019,0.876
<class 'torch.optim.adam.Adam'>,0.0005,64,150,,,0,True,300,,,LSTM,True,False,0.8678899082568807,0.856
<class 'torch.optim.adam.Adam'>,0.0005,64,170,,,0,True,300,,,LSTM,True,False,0.8678899082568807,0.88
<class 'torch.optim.adam.Adam'>,0.0005,64,190,,,0,True,300,,,LSTM,True,False,0.8678899082568807,0.898
<class 'torch.optim.adam.Adam'>,0.0005,32,200,,,0,True,300,,,LSTM,True,False,0.8678899082568807,0.88
<class 'torch.optim.adam.Adam'>,0.001,32,128,,,0,True,300,,,LSTM,True,False,0.8678899082568807,0.88
<class 'torch.optim.adam.Adam'>,0.001,16,170,,,0,True,300,,,LSTM,False,,0.8678899082568807,0.872
<class 'torch.optim.adam.Adam'>,0.0002,32,200,,,0,True,300,,,LSTM,True,False,0.8678899082568807,0.86
<class 'torch.optim.adam.Adam'>,0.0002,64,170,,,0,True,300,,,LSTM,True,False,0.8678899082568807,0.86
<class 'torch.optim.adam.Adam'>,0.0002,16,170,,,0,True,300,,,LSTM,False,,0.8669724770642202,0.874
<class 'torch.optim.adam.Adam'>,0.0005,16,170,,,0,True,300,,,LSTM,False,,0.8669724770642202,0.886
<class 'torch.optim.adam.Adam'>,0.0002,16,190,,,0,True,300,,,LSTM,True,False,0.8660550458715597,0.866
<class 'torch.optim.adam.Adam'>,0.0002,32,150,,,0,True,300,,,LSTM,True,False,0.8660550458715597,0.862
<class 'torch.optim.adam.Adam'>,0.0002,32,190,,,0,True,300,,,LSTM,True,False,0.8660550458715597,0.856
<class 'torch.optim.adam.Adam'>,0.001,32,170,,,0,True,300,,,LSTM,True,True,0.865137614678899,0.886
<class 'torch.optim.adam.Adam'>,0.001,32,200,,,0,True,300,,,LSTM,True,False,0.865137614678899,0.884
<class 'torch.optim.adam.Adam'>,0.001,64,150,,,0,True,300,,,LSTM,True,False,0.865137614678899,0.894
<class 'torch.optim.adam.Adam'>,0.0005,16,200,,,0,True,300,,,LSTM,True,True,0.865137614678899,0.864
<class 'torch.optim.adam.Adam'>,0.0002,16,150,,,0,True,300,,,LSTM,False,,0.865137614678899,0.85
<class 'torch.optim.adam.Adam'>,0.0005,16,150,,,0,True,300,,,LSTM,False,,0.865137614678899,0.868
<class 'torch.optim.adam.Adam'>,0.0002,32,190,,,0,True,300,,,LSTM,False,,0.8642201834862385,0.874
<class 'torch.optim.adam.Adam'>,0.001,16,190,,,0,True,300,,,LSTM,True,True,0.8642201834862385,0.864
<class 'torch.optim.adam.Adam'>,0.0005,64,128,,,0,True,300,,,LSTM,False,,0.8642201834862385,0.88
<class 'torch.optim.adam.Adam'>,0.0005,32,128,,,0,True,300,,,LSTM,True,False,0.8623853211009175,0.862
<class 'torch.optim.adam.Adam'>,0.0002,16,170,,,0,True,300,,,LSTM,True,False,0.8623853211009175,0.858
<class 'torch.optim.adam.Adam'>,0.001,32,200,,,0,True,300,,,LSTM,True,True,0.8623853211009175,0.868
<class 'torch.optim.adam.Adam'>,0.001,16,128,,,0,True,300,,,LSTM,True,True,0.8605504587155963,0.874
<class 'torch.optim.adam.Adam'>,0.0005,16,190,,,0,True,300,,,LSTM,True,True,0.8605504587155963,0.876
<class 'torch.optim.adam.Adam'>,0.0002,64,200,,,0,True,300,,,LSTM,True,False,0.8605504587155963,0.876
<class 'torch.optim.adam.Adam'>,0.0005,32,170,,,0,True,300,,,LSTM,False,,0.8605504587155963,0.862
<class 'torch.optim.adam.Adam'>,0.001,64,150,,,0,True,300,,,LSTM,True,True,0.8605504587155963,0.866
<class 'torch.optim.adam.Adam'>,0.0002,64,150,,,0,True,300,,,LSTM,True,False,0.8605504587155963,0.848
<class 'torch.optim.adam.Adam'>,0.0005,16,128,,,0,True,300,,,LSTM,True,False,0.8596330275229358,0.884
<class 'torch.optim.adam.Adam'>,0.0002,64,128,,,0,True,300,,,LSTM,True,False,0.8596330275229358,0.87
<class 'torch.optim.adam.Adam'>,0.001,64,200,,,0,True,300,,,LSTM,False,,0.8587155963302753,0.864
<class 'torch.optim.adam.Adam'>,0.0005,64,128,,,0,True,300,,,LSTM,True,False,0.8587155963302753,0.882
<class 'torch.optim.adam.Adam'>,0.001,16,200,,,0,True,300,,,LSTM,True,True,0.8587155963302753,0.884
<class 'torch.optim.adam.Adam'>,0.001,16,200,,,0,True,300,,,LSTM,False,,0.8577981651376146,0.876
<class 'torch.optim.adam.Adam'>,0.001,32,170,,,0,True,300,,,LSTM,True,False,0.8577981651376146,0.888
<class 'torch.optim.adam.Adam'>,0.0002,64,190,,,0,True,300,,,LSTM,True,False,0.8577981651376146,0.86
<class 'torch.optim.adam.Adam'>,0.0005,32,150,,,0,True,300,,,LSTM,False,,0.8568807339449541,0.862
<class 'torch.optim.adam.Adam'>,0.0002,32,128,,,0,True,300,,,LSTM,False,,0.8559633027522936,0.852
<class 'torch.optim.adam.Adam'>,0.0002,64,170,,,0,True,300,,,LSTM,False,,0.8559633027522936,0.86
<class 'torch.optim.adam.Adam'>,0.0002,32,128,,,0,True,300,,,LSTM,True,False,0.8550458715596331,0.846
<class 'torch.optim.adam.Adam'>,0.001,64,150,,,0,True,300,,,LSTM,False,,0.8550458715596331,0.852
<class 'torch.optim.adam.Adam'>,0.001,32,150,,,0,True,300,,,LSTM,True,False,0.8541284403669724,0.88
<class 'torch.optim.adam.Adam'>,0.0005,64,150,,,0,True,300,,,LSTM,False,,0.8532110091743119,0.844
<class 'torch.optim.adam.Adam'>,0.001,16,128,,,0,True,300,,,LSTM,False,,0.8522935779816514,0.852
<class 'torch.optim.adam.Adam'>,0.0002,32,150,,,0,True,300,,,LSTM,False,,0.8513761467889909,0.84
<class 'torch.optim.adam.Adam'>,0.001,32,190,,,0,True,300,,,LSTM,False,,0.8504587155963302,0.864
<class 'torch.optim.adam.Adam'>,0.0005,16,170,,,0,True,300,,,LSTM,True,True,0.8495412844036697,0.86
<class 'torch.optim.adam.Adam'>,0.001,32,150,,,0,True,300,,,LSTM,False,,0.8495412844036697,0.872
<class 'torch.optim.adam.Adam'>,0.0002,64,150,,,0,True,300,,,LSTM,False,,0.8495412844036697,0.85
<class 'torch.optim.adam.Adam'>,0.0005,64,200,,,0,True,300,,,LSTM,False,,0.8495412844036697,0.836
<class 'torch.optim.adam.Adam'>,0.0005,32,200,,,0,True,300,,,LSTM,True,True,0.8495412844036697,0.85
<class 'torch.optim.adam.Adam'>,0.0002,32,170,,,0,True,300,,,LSTM,False,,0.8486238532110092,0.864
<class 'torch.optim.adam.Adam'>,0.001,16,150,,,0,True,300,,,LSTM,True,True,0.8486238532110092,0.868
<class 'torch.optim.adam.Adam'>,0.0002,16,200,,,0,True,300,,,LSTM,True,True,0.846788990825688,0.84
<class 'torch.optim.adam.Adam'>,0.001,32,128,,,0,True,300,,,LSTM,True,True,0.846788990825688,0.852
<class 'torch.optim.adam.Adam'>,0.0002,64,128,,,0,True,300,,,LSTM,False,,0.844954128440367,0.824
<class 'torch.optim.adam.Adam'>,0.001,32,150,,,0,True,300,,,LSTM,True,True,0.844954128440367,0.846
<class 'torch.optim.adam.Adam'>,0.0005,16,150,,,0,True,300,,,LSTM,True,True,0.8440366972477065,0.846
<class 'torch.optim.adam.Adam'>,0.0002,32,200,,,0,True,300,,,LSTM,False,,0.8422018348623853,0.828
<class 'torch.optim.adam.Adam'>,0.001,64,200,,,0,True,300,,,LSTM,True,True,0.8403669724770643,0.868
<class 'torch.optim.adam.Adam'>,0.0005,64,200,,,0,True,300,,,LSTM,True,True,0.8403669724770643,0.87
<class 'torch.optim.adam.Adam'>,0.0002,64,190,,,0,True,300,,,LSTM,False,,0.8394495412844036,0.856
<class 'torch.optim.adam.Adam'>,0.0005,64,150,,,0,True,300,,,LSTM,True,True,0.8385321100917431,0.842
<class 'torch.optim.adam.Adam'>,0.0005,16,128,,,0,True,300,,,LSTM,True,True,0.8385321100917431,0.84
<class 'torch.optim.adam.Adam'>,0.0005,64,190,,,0,True,300,,,LSTM,True,True,0.8376146788990826,0.852
<class 'torch.optim.adam.Adam'>,0.0002,32,190,,,0,True,300,,,LSTM,True,True,0.8357798165137614,0.846
<class 'torch.optim.adam.Adam'>,0.0005,32,190,,,0,True,300,,,LSTM,True,True,0.8357798165137614,0.836
<class 'torch.optim.adam.Adam'>,0.001,64,190,,,0,True,300,,,LSTM,True,True,0.8348623853211009,0.852
<class 'torch.optim.adam.Adam'>,0.001,64,128,,,0,True,300,,,LSTM,True,True,0.8330275229357799,0.878
<class 'torch.optim.adam.Adam'>,0.001,64,170,,,0,True,300,,,LSTM,True,True,0.8321100917431192,0.86
<class 'torch.optim.adam.Adam'>,0.0005,32,170,,,0,True,300,,,LSTM,True,True,0.8311926605504587,0.814
<class 'torch.optim.adam.Adam'>,0.001,32,190,,,0,True,300,,,LSTM,True,True,0.8311926605504587,0.858
<class 'torch.optim.adam.Adam'>,0.0002,32,200,,,0,True,300,,,LSTM,True,True,0.828440366972477,0.842
<class 'torch.optim.adam.Adam'>,0.0002,16,150,,,0,True,300,,,LSTM,True,True,0.826605504587156,0.84
<class 'torch.optim.adam.Adam'>,0.0005,32,128,,,0,True,300,,,LSTM,True,True,0.8238532110091743,0.856
<class 'torch.optim.adam.Adam'>,0.0005,32,150,,,0,True,300,,,LSTM,True,True,0.8238532110091743,0.838
<class 'torch.optim.adam.Adam'>,0.0005,64,128,,,0,True,300,,,LSTM,True,True,0.8192660550458716,0.822
<class 'torch.optim.adam.Adam'>,0.0002,16,170,,,0,True,300,,,LSTM,True,True,0.8119266055045872,0.842
<class 'torch.optim.adam.Adam'>,0.0002,32,128,,,0,True,300,,,LSTM,True,True,0.808256880733945,0.832
<class 'torch.optim.adam.Adam'>,0.0002,16,128,,,0,True,300,,,LSTM,True,True,0.8064220183486238,0.82
<class 'torch.optim.adam.Adam'>,0.0002,64,128,,,0,True,300,,,LSTM,True,True,0.7954128440366972,0.8
<class 'torch.optim.adam.Adam'>,0.0002,32,150,,,0,True,300,,,LSTM,True,True,0.7889908256880734,0.834
<class 'torch.optim.adam.Adam'>,0.0005,64,170,,,0,True,300,,,LSTM,True,True,0.7513761467889908,0.76
<class 'torch.optim.adam.Adam'>,0.0002,64,170,,,0,True,300,,,LSTM,True,True,0.7357798165137615,0.778
<class 'torch.optim.adam.Adam'>,0.0002,32,170,,,0,True,300,,,LSTM,True,True,0.7302752293577982,0.718
<class 'torch.optim.adam.Adam'>,0.0002,64,200,,,0,True,300,,,LSTM,True,True,0.7091743119266055,0.712
<class 'torch.optim.adam.Adam'>,0.0002,16,190,,,0,True,300,,,LSTM,True,True,0.7027522935779816,0.73
<class 'torch.optim.adam.Adam'>,0.0002,64,190,,,0,True,300,,,LSTM,True,True,0.6935779816513762,0.71
<class 'torch.optim.adam.Adam'>,0.0002,64,150,,,0,True,300,,,LSTM,True,True,0.6633027522935779,0.688
