regularization,reg_only_weights,l1_lambda,l2_lambda,weight_decay,valid_acc,test_acc
both,True,0.01,2.0,0.0,0.2422018348623853,0.188
both,True,0.005,2.0,0.0,0.2422018348623853,0.188
both,False,0.1,2.0,0.0,0.2422018348623853,0.188
both,False,0.05,4.0,0.0,0.2422018348623853,0.188
both,True,0.1,4.0,0.0,0.2110091743119266,0.13
both,True,0.1,1.0,0.0,0.2110091743119266,0.13
both,True,0.1,0.2,0.0,0.2110091743119266,0.13
both,True,0.1,0.1,0.0,0.2110091743119266,0.13
both,True,0.05,4.0,0.0,0.2110091743119266,0.13
both,True,0.05,1.0,0.0,0.2110091743119266,0.13
both,True,0.05,0.2,0.0,0.2110091743119266,0.13
both,True,0.05,0.1,0.0,0.2110091743119266,0.13
both,True,0.01,4.0,0.0,0.2110091743119266,0.13
both,True,0.01,1.0,0.0,0.2110091743119266,0.13
both,True,0.01,0.2,0.0,0.2110091743119266,0.13
both,True,0.01,0.1,0.0,0.2110091743119266,0.13
both,True,0.005,4.0,0.0,0.2110091743119266,0.13
both,True,0.005,1.0,0.0,0.2110091743119266,0.13
both,True,0.005,0.2,0.0,0.2110091743119266,0.13
both,True,0.005,0.1,0.0,0.2110091743119266,0.13
both,True,0.001,4.0,0.0,0.2110091743119266,0.13
both,True,0.001,2.0,0.0,0.2110091743119266,0.13
both,True,0.001,1.0,0.0,0.2110091743119266,0.13
both,True,0.001,0.2,0.0,0.2110091743119266,0.13
both,True,0.001,0.1,0.0,0.2110091743119266,0.13
both,False,0.1,4.0,0.0,0.2110091743119266,0.13
both,False,0.05,2.0,0.0,0.2110091743119266,0.13
both,False,0.05,1.0,0.0,0.2110091743119266,0.13
both,False,0.01,2.0,0.0,0.2110091743119266,0.13
both,False,0.01,1.0,0.0,0.2110091743119266,0.13
both,False,0.01,0.2,0.0,0.2110091743119266,0.13
both,False,0.01,0.1,0.0,0.2110091743119266,0.13
both,False,0.005,2.0,0.0,0.2110091743119266,0.13
both,False,0.005,1.0,0.0,0.2110091743119266,0.13
both,False,0.005,0.2,0.0,0.2110091743119266,0.13
both,False,0.005,0.1,0.0,0.2110091743119266,0.13
both,False,0.001,2.0,0.0,0.2110091743119266,0.13
both,False,0.001,1.0,0.0,0.2110091743119266,0.13
both,False,0.001,0.2,0.0,0.2110091743119266,0.13
both,False,0.001,0.1,0.0,0.2110091743119266,0.13
both,False,0.1,0.2,0.0,0.2091743119266055,0.13
both,False,0.1,0.1,0.0,0.2091743119266055,0.13
both,False,0.05,0.2,0.0,0.2091743119266055,0.13
both,False,0.05,0.1,0.0,0.2091743119266055,0.13
both,False,0.1,1.0,0.0,0.2045871559633027,0.276
both,False,0.01,4.0,0.0,0.2045871559633027,0.276
both,False,0.005,4.0,0.0,0.2045871559633027,0.276
both,False,0.001,4.0,0.0,0.2045871559633027,0.276
